uid,legislature,numero,date_scrutin,type_vote,sort,titre,objet
VTANR5L17V6176,17,6176,2026-04-13 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""rejeté"",""libelle"":""L'Assemblée nationale n'a pas adopté""}","l'amendement n° 28 de M. Aurélien Taché après l'article 3 du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture).","{""libelle"":""l'amendement n° 28 de M. Aurélien Taché après l'article 3 du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture)."",""dossierLegislatif"":{""libelle"":""Projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés"",""dossierRef"":""DLR5L17N52635""},""referenceLegislative"":null}"
VTANR5L17V6164,17,6164,2026-04-13 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""rejeté"",""libelle"":""L'Assemblée nationale n'a pas adopté""}","l'amendement n° 13 de Mme Taillé-Polian à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture).","{""libelle"":""l'amendement n° 13 de Mme Taillé-Polian à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture)."",""dossierLegislatif"":{""libelle"":""Projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés"",""dossierRef"":""DLR5L17N52635""},""referenceLegislative"":null}"
VTANR5L17V6161,17,6161,2026-04-13 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""adopté"",""libelle"":""l'Assemblée nationale a adopté""}","l'amendement n° 15 de Mme Taillé-Polian à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture).","{""libelle"":""l'amendement n° 15 de Mme Taillé-Polian à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture)."",""dossierLegislatif"":{""libelle"":""Projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés"",""dossierRef"":""DLR5L17N52635""},""referenceLegislative"":null}"
VTANR5L17V6153,17,6153,2026-04-13 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""rejeté"",""libelle"":""L'Assemblée nationale n'a pas adopté""}","l'amendement n° 37 de M. Coquerel à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture).","{""libelle"":""l'amendement n° 37 de M. Coquerel à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture)."",""dossierLegislatif"":{""libelle"":""Projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés"",""dossierRef"":""DLR5L17N52635""},""referenceLegislative"":null}"
VTANR5L17V6151,17,6151,2026-04-13 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""rejeté"",""libelle"":""L'Assemblée nationale n'a pas adopté""}","l'amendement n° 3 de M. Arenas et l'amendement identique suivant à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture).","{""libelle"":""l'amendement n° 3 de M. Arenas et l'amendement identique suivant à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture)."",""dossierLegislatif"":{""libelle"":""Projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés"",""dossierRef"":""DLR5L17N52635""},""referenceLegislative"":null}"
VTANR5L17V6146,17,6146,2026-04-13 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""rejeté"",""libelle"":""L'Assemblée nationale n'a pas adopté""}","l'amendement n° 47 de Mme Sebaihi à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture).","{""libelle"":""l'amendement n° 47 de Mme Sebaihi à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture)."",""dossierLegislatif"":{""libelle"":""Projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés"",""dossierRef"":""DLR5L17N52635""},""referenceLegislative"":null}"
VTANR5L17V6140,17,6140,2026-04-13 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""rejeté"",""libelle"":""L'Assemblée nationale n'a pas adopté""}","l'amendement n° 1 de M. Aurélien Taché à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture).","{""libelle"":""l'amendement n° 1 de M. Aurélien Taché à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture)."",""dossierLegislatif"":{""libelle"":""Projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés"",""dossierRef"":""DLR5L17N52635""},""referenceLegislative"":null}"
VTANR5L17V6137,17,6137,2026-04-13 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""adopté"",""libelle"":""l'Assemblée nationale a adopté""}","l'amendement n° 39 de Mme Sebaihi et l'amendement identique suivant à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture).","{""libelle"":""l'amendement n° 39 de Mme Sebaihi et l'amendement identique suivant à l'article premier du projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés (première lecture)."",""dossierLegislatif"":{""libelle"":""Projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés"",""dossierRef"":""DLR5L17N52635""},""referenceLegislative"":null}"
VTANR5L17V6135,17,6135,2026-04-10 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""adopté"",""libelle"":""l'Assemblée nationale a adopté""}",l'ensemble de la proposition de loi visant à instaurer une procédure simplifiée de recouvrement des créances commerciales incontestées (première lecture).,"{""libelle"":""l'ensemble de la proposition de loi visant à instaurer une procédure simplifiée de recouvrement des créances commerciales incontestées (première lecture)."",""dossierLegislatif"":{""libelle"":""Proposition de loi visant à instaurer une procédure simplifiée de recouvrement des créances commerciales incontestées"",""dossierRef"":""DLR5L17N53315""},""referenceLegislative"":null}"
VTANR5L17V6133,17,6133,2026-04-10 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""adopté"",""libelle"":""l'Assemblée nationale a adopté""}","la motion de rejet préalable, déposée par Mme Dubré-Chirat, de la proposition de loi visant à permettre aux salariés de certains établissements et services de travailler le 1er mai (première lecture).","{""libelle"":""la motion de rejet préalable, déposée par Mme Dubré-Chirat, de la proposition de loi visant à permettre aux salariés de certains établissements et services de travailler le 1er mai (première lecture)."",""dossierLegislatif"":{""libelle"":""Proposition de loi visant à permettre aux salariés de certains établissements et services de travailler le 1er mai"",""dossierRef"":""DLR5L17N51987""},""referenceLegislative"":null}"
VTANR5L17V6131,17,6131,2026-04-09 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""adopté"",""libelle"":""l'Assemblée nationale a adopté""}",l'ensemble de la proposition de loi visant à simplifier la gestion de la commande publique par les acheteurs publics et les opérateurs économiques (première partie).,"{""libelle"":""l'ensemble de la proposition de loi visant à simplifier la gestion de la commande publique par les acheteurs publics et les opérateurs économiques (première partie)."",""dossierLegislatif"":{""libelle"":""Simplifier la gestion de la commande publique par les acheteurs publics et les opérateurs économiques"",""dossierRef"":""DLR5L17N53770""},""referenceLegislative"":null}"
VTANR5L17V6130,17,6130,2026-04-09 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""rejeté"",""libelle"":""L'Assemblée nationale n'a pas adopté""}",l'amendement n° 2 de M. Salmon après l'article 3 de la proposition de loi visant à simplifier la gestion de la commande publique par les acheteurs publics et les opérateurs économiques (première lecture).,"{""libelle"":""l'amendement n° 2 de M. Salmon après l'article 3 de la proposition de loi visant à simplifier la gestion de la commande publique par les acheteurs publics et les opérateurs économiques (première lecture)."",""dossierLegislatif"":{""libelle"":""Simplifier la gestion de la commande publique par les acheteurs publics et les opérateurs économiques"",""dossierRef"":""DLR5L17N53770""},""referenceLegislative"":null}"
VTANR5L17V6128,17,6128,2026-04-09 00:00:00+00,"{""codeTypeVote"":""SPO"",""libelleTypeVote"":""scrutin public ordinaire"",""typeMajorite"":""Majorité absolue des suffrages exprimés""}","{""code"":""rejeté"",""libelle"":""L'Assemblée nationale n'a pas adopté""}",l'amendement n° 23 de Mme Catherine Hervieu après l'article premier de la proposition de loi visant à simplifier la gestion de la commande publique par les acheteurs publics et les opérateurs économiques (première partie).,"{""libelle"":""l'amendement n° 23 de Mme Catherine Hervieu après l'article premier de la proposition de loi visant à simplifier la gestion de la commande publique par les acheteurs publics et les opérateurs économiques (première partie)."",""dossierLegislatif"":{""libelle"":""Simplifier la gestion de la commande publique par les acheteurs publics et les opérateurs économiques"",""dossierRef"":""DLR5L17N53770""},""referenceLegislative"":null}"
